Empresa;Entidade
JANSSEN CILAG FARMACÊUTICA, LDA;9810140
IPSEN PORTUGAL - PRODUTOS FARMACÊUTICOS, S.A.;9802050
NOVARTIS FARMA - PRODUTOS FARMACÊUTICOS, S.A.;9816190
TAKEDA - FARMACÊUTICOS PORTUGAL, LDA. (NYCOMED PORTUGAL);9813046
ABBVIE, LDA.;9801172
GILEAD SCIENCES, LDA.;9809154
ASTRAZENECA- PRODUTOS FARMACÊUTICOS, LDA.;9801752
DAIICHI SANKYO PORTUGAL, LDA.;9819040
ROCHE FARMACÊUTICA QUÍMICA, LDA.;9818171
MERCK SHARP & DOHME, LDA.;9813356
GLAXOSMITHKLINE - PRODUTOS FARMACÊUTICOS, LDA.;9809146
LILLY PORTUGAL - PRODUTOS FARMACÊUTICOS, LDA.;9812292
PIERRE FABRE MEDICAMENT PORTUGAL, LDA.;9806290
SERVIER PORTUGAL - ESPECIALIDADES FARMACÊUTICAS, LDA.;9819097
TEVA PHARMA - PRODUTOS FARMACÊUTICOS, LDA.;9818133
SANOFI - PRODUTOS FARMACÊUTICOS, LDA.;9819068
MERCK, S.A.;9813351
Logista Pharma;
LUNDBECK PORTUGAL - PRODUTOS FARMACÊUTICOS, LDA;9806149
LABORATÓRIOS PFIZER, LDA.;9812131
EISAI FARMACÊUTICA, UNIPESSOAL, LDA;9802100
BRISTOL-MYERS SQUIBB FARMACÊUTICA PORTUGUESA, S.A.;9802230
BAYER PORTUGAL, S.A.;9802031
ASTELLAS FARMA, LDA.;9804010
JABA RECORDATI S.A.;#N/D
Théa Portugal, SA;#N/D
VIFOR PHARMA PORTUGAL, S.A.;9801897
UCB PHARMA (PRODUTOS FARMACÊUTICOS), LDA.;#N/D
BOEHRINGER INGELHEIM, LDA. (UNILFARMA, Lda);#N/D
OM PHARMA S.A.;#N/D
BIOGEN IDEC PORTUGAL - SOCIEDADE FARMACÊUTICA, UNIPESSOAL, LDA.;#N/D
PIERRE FABRE DERMO COSMÉTIQUE PORTUGAL, LDA.;#N/D
ORIONFIN UNIPESSOAL LDA;9815118
CELGENE, SOCIEDADE UNIPESSOAL, LDA.;#N/D
FERRING PORTUGUESA, LDA.;#N/D
SANOFI PASTEUR MSD S.N.C.;9819069
